time,ax,ay,az,aT
331.467456,-0.0205,-0.0135,-0.0132,0.028
332.467249,-0.0352,-0.0073,-0.0134,0.038
333.467967,-0.0391,-0.0407,0.0023,0.056
334.469452,-0.0068,-0.0317,-0.0178,0.037
335.469556,0.0328,-0.0120,-0.0470,0.059
336.470581,-0.0271,0.0298,0.0198,0.045
337.471817,-0.0229,-0.0264,-0.0046,0.035
338.473697,0.0051,-0.0179,-0.0174,0.026
339.474368,-0.0831,-0.0321,-0.0105,0.090
340.475701,-0.0196,0.0050,-0.0276,0.034
341.483224,0.0316,0.0147,-0.0138,0.038
342.492691,0.0239,0.0169,-0.0290,0.041
343.500587,-0.0049,-0.0080,-0.0237,0.025
344.482020,0.0270,0.0132,-0.0194,0.036
345.482896,-0.0110,0.0127,-0.0113,0.020
346.483885,0.0010,0.0168,0.0073,0.018
347.484423,-0.0590,0.0227,-0.0097,0.064
348.484969,-0.0116,0.0162,0.0195,0.028
349.485440,0.0272,-0.0121,-0.0116,0.032
350.486009,0.0228,0.0108,-0.0200,0.032
351.486490,-0.0125,-0.0407,0.0132,0.045
352.487382,-0.0159,-0.0100,-0.0022,0.019
353.488068,0.0561,0.0211,-0.0286,0.066
354.489686,0.0024,-0.0264,-0.0058,0.027
355.490128,0.0138,0.0234,-0.0239,0.036
356.495601,0.0410,-0.0468,-0.0134,0.064
357.493644,-0.0223,0.0237,-0.0280,0.043
358.491814,-0.0019,0.0216,-0.0383,0.044
359.507218,0.1376,0.0848,-0.0389,0.166
360.493069,-0.1936,-0.2346,0.0369,0.306
361.492268,0.0080,0.0012,-0.0280,0.029
362.492991,0.0118,0.0213,-0.0148,0.028
363.493529,-0.0058,-0.0208,-0.0345,0.041
364.494124,0.0030,0.0164,-0.0112,0.020
365.495767,0.0152,-0.0189,0.0027,0.024
366.500937,-0.0167,-0.0007,-0.0030,0.017
367.498557,-0.0131,-0.0000,-0.0128,0.018
368.497206,-0.0066,-0.0078,-0.0195,0.022
369.502447,0.0275,0.0107,-0.0153,0.033
370.498596,-0.0274,0.0118,-0.0154,0.034
371.513341,-0.0350,-0.0041,-0.0161,0.039
372.511820,-0.0241,0.0138,-0.0110,0.030
373.531902,0.0224,0.0215,0.0091,0.032
374.501882,0.0008,-0.0416,-0.0297,0.051
375.502209,0.0062,0.0027,-0.0209,0.022
376.503027,0.0079,0.0286,0.0044,0.030
377.503810,-0.0134,-0.0070,-0.0179,0.023
378.504292,0.0379,0.0427,-0.0204,0.061
379.504550,-0.0346,-0.0202,0.0055,0.040
380.505012,0.0161,0.0080,-0.0203,0.027
381.508069,-0.0187,-0.0081,0.0175,0.027
382.509691,0.0020,-0.0457,-0.0002,0.046
383.511525,-0.0197,0.0095,-0.0232,0.032
384.513222,0.0080,-0.0009,-0.0171,0.019
385.513179,-0.0027,-0.0085,-0.0002,0.009
386.527798,-0.0531,-0.0194,0.0060,0.057
387.529965,-0.0427,-0.0215,-0.0034,0.048
388.528882,-0.0001,-0.0275,-0.0118,0.030
389.515717,0.0263,0.0419,0.0098,0.050
390.516514,-0.0058,0.0225,-0.0165,0.028
391.517483,0.0000,0.0294,-0.0162,0.034
392.517145,-0.0309,-0.0392,-0.0306,0.059
393.517684,0.0189,-0.0145,-0.0094,0.026
394.518060,-0.0167,0.0215,-0.0100,0.029
395.520899,-0.0149,0.0194,-0.0019,0.024
396.521460,-0.0246,-0.0360,0.0080,0.044
397.522235,-0.0400,-0.0504,-0.0086,0.065
398.523770,0.0061,0.0081,-0.0122,0.016
399.528631,0.0240,0.1114,-0.0174,0.115
400.528075,0.0326,0.0200,-0.0183,0.042
401.544829,-0.0598,-0.0256,-0.0169,0.067
402.544642,-0.1661,0.0196,0.0261,0.169
403.527112,0.0686,-0.0687,0.0161,0.098
404.527869,0.0260,0.0415,0.0806,0.094
405.528789,0.0182,-0.0931,-0.0364,0.102
406.529019,-0.0715,0.0397,0.0602,0.102
407.529927,-0.0174,-0.0143,0.0447,0.050
408.530776,0.0482,-0.0623,0.0219,0.082
409.532911,-0.1102,0.0248,-0.0149,0.114
410.533718,0.0996,0.0237,-0.0137,0.103
411.534639,0.1597,-0.0248,-0.0484,0.169
412.534930,0.0748,-0.0325,-0.0113,0.082
413.536748,0.0149,0.0061,0.0196,0.025
414.536769,-0.0528,-0.0920,0.0787,0.132
415.537608,0.0781,0.0129,-0.1360,0.157
416.537849,0.0059,0.0025,0.0600,0.060
417.539798,0.0558,0.0503,-0.0498,0.090
418.551668,-0.1104,-0.0020,0.0394,0.117
419.555114,-0.0051,-0.0047,0.0031,0.008
420.541117,-0.0061,-0.0177,-0.0450,0.049
421.541402,-0.0533,-0.0171,-0.0224,0.060
422.554497,-0.0526,-0.0124,-0.0320,0.063
423.542170,-0.0169,0.0236,-0.0110,0.031
424.543126,-0.0219,-0.0246,0.0075,0.034
425.543538,0.0897,0.0317,-0.1689,0.194
426.544571,-0.0910,-0.0539,0.1550,0.188
427.545451,0.0118,-0.0698,0.1561,0.171
428.546630,-0.0706,0.0627,-0.1284,0.159
429.547774,0.1220,-0.0261,0.2066,0.241
430.548995,0.0137,0.0321,-0.0416,0.054
431.549441,-0.0505,-0.0016,-0.0044,0.051
432.550423,-0.0404,-0.0273,-0.0013,0.049
433.551760,-0.0457,-0.0150,-0.0012,0.048
434.553073,0.0218,-0.0322,0.0037,0.039
435.553978,-0.0232,-0.0041,-0.1095,0.112
436.557758,-0.0069,-0.0228,-0.0245,0.034
437.561031,-0.0430,-0.0164,-0.0073,0.047
438.578010,0.0156,-0.0359,0.0108,0.041
439.556614,-0.0179,0.0349,-0.0328,0.051
440.557413,-0.0057,-0.0065,-0.0216,0.023
441.558353,-0.0459,-0.0277,0.0192,0.057
442.559059,0.0100,-0.0140,-0.0123,0.021
443.559782,0.0053,-0.0024,-0.0269,0.027
444.560654,0.0147,-0.0022,-0.0124,0.019
445.561437,-0.0179,-0.0153,0.0033,0.024
446.561916,0.0931,-0.0750,-0.0809,0.144
447.563182,-0.0090,-0.0188,0.0190,0.028
448.563616,0.0527,0.0192,-0.0455,0.072
449.564059,0.0553,0.0439,-0.0071,0.071
450.564584,0.0146,0.0144,0.0038,0.021
451.579512,-0.0199,0.0075,0.0024,0.021
452.579075,0.0208,-0.0019,-0.0276,0.035
453.579796,0.0125,-0.0104,-0.0514,0.054
454.596760,0.0294,0.0529,-0.0287,0.067
455.595036,-0.0121,0.0601,-0.0440,0.075
456.569764,-0.0227,0.0071,-0.0177,0.030
457.570639,-0.0019,-0.0148,-0.0246,0.029
458.571277,-0.0097,-0.0093,-0.0193,0.023
459.571729,-0.0328,-0.0060,-0.0165,0.037
460.572420,0.0011,-0.0118,-0.0093,0.015
461.573320,0.0109,0.0120,-0.0063,0.017
462.573793,-0.0248,-0.0165,-0.0318,0.044
463.574764,-0.0143,-0.0152,-0.0253,0.033
464.574937,-0.0036,0.0005,-0.0164,0.017
465.575657,0.0042,-0.0117,-0.0231,0.026
466.576222,-0.0124,0.0065,-0.0100,0.017
467.576517,0.0033,0.0172,0.0003,0.018
468.577766,-0.0313,0.0080,-0.0231,0.040
469.578744,-0.0067,-0.0376,-0.0170,0.042
470.579225,0.0352,-0.0013,-0.0123,0.037
471.582945,-0.0032,-0.0028,0.0108,0.012
472.594442,0.0016,0.0191,0.0101,0.022
473.601474,0.0042,0.0105,0.0180,0.021
474.584960,0.0035,-0.0188,-0.0244,0.031
475.585289,0.0136,-0.0286,-0.0146,0.035
476.586257,0.0018,-0.0267,-0.0049,0.027
477.587665,0.0135,0.0071,-0.0394,0.042
478.589316,0.0151,-0.0231,-0.0154,0.032
479.589183,-0.0095,-0.0015,0.0010,0.010
480.589939,-0.0097,0.0074,-0.0014,0.012
481.601222,0.0155,-0.0120,-0.0059,0.020
482.593275,-0.0182,0.0221,-0.0337,0.044
483.599141,-0.0067,-0.0007,-0.0246,0.025
484.619857,-0.0130,0.0009,-0.0113,0.017
