time,ax,ay,az,aT
409.034369,0.0178,0.0245,-0.1429,0.146
410.035193,0.0028,-0.0195,0.0530,0.057
411.035806,-0.0367,-0.0465,0.0162,0.061
412.036639,-0.0286,-0.0433,-0.0515,0.073
413.040738,0.0261,0.0044,0.0854,0.089
414.043522,0.1387,-0.1202,0.1644,0.246
415.044602,-0.1188,0.0914,-0.1693,0.226
416.047584,0.1302,0.0355,-0.0241,0.137
417.047542,-0.0849,0.0104,-0.0170,0.087
418.065704,0.2105,0.0094,0.2076,0.296
419.056266,-0.1102,0.0265,-0.0943,0.147
420.047890,-0.1250,0.0145,-0.0766,0.147
421.048516,-0.0100,0.0220,-0.2192,0.220
422.048987,0.2259,-0.0471,-0.0587,0.238
423.049488,-0.0744,0.0461,0.0189,0.090
424.050639,-0.0747,-0.0135,-0.1657,0.182
425.050671,-0.1209,0.0195,-0.2452,0.274
426.051406,-0.0323,0.0159,-0.0878,0.095
427.051759,0.0026,0.0259,-0.0735,0.078
428.053704,-0.1641,0.0415,-0.0125,0.170
429.053878,0.0761,0.0054,-0.0313,0.082
430.054514,0.0649,0.0478,0.1642,0.183
431.053995,0.0793,0.0275,-0.0256,0.088
432.055314,0.0509,0.0158,-0.0223,0.058
433.064329,-0.0329,0.0209,-0.1959,0.200
434.086947,-0.0623,-0.0086,-0.1856,0.196
435.070984,0.0654,0.0796,0.0881,0.136
436.069485,-0.0270,0.0923,-0.0877,0.130
437.087804,-0.0087,-0.0477,-0.0152,0.051
438.058745,-0.3043,-0.0399,-0.1345,0.335
439.059765,0.0200,0.0852,-0.2998,0.312
440.059932,0.0348,-0.0072,0.0455,0.058
441.060891,0.2546,0.0199,0.0122,0.256
442.061963,0.1148,-0.0060,0.3492,0.368
443.061769,0.0877,-0.0423,-0.1086,0.146
444.062946,0.0576,0.0304,-0.0585,0.088
445.063005,0.1832,0.0281,0.0236,0.187
446.063654,-0.0133,-0.0128,0.0318,0.037
447.064391,-0.2182,0.0256,-0.0890,0.237
448.065424,0.0399,-0.0241,0.1577,0.164
449.065844,0.1057,0.0065,0.0346,0.111
450.069191,-0.0197,0.0145,-0.0109,0.027
451.068373,-0.0089,0.0346,0.0846,0.092
452.074751,0.0161,0.0380,0.0433,0.060
453.085772,-0.0287,-0.0275,0.0220,0.045
454.078353,-0.0486,-0.0056,0.0323,0.059
455.084226,-0.0970,-0.0039,-0.0203,0.099
456.093944,-0.0961,0.0707,0.0713,0.139
457.072467,0.0163,0.0221,-0.1969,0.199
458.073511,0.0208,-0.0246,-0.1193,0.124
459.073839,-0.0086,0.0146,-0.0180,0.025
460.074441,-0.0526,0.0066,-0.0017,0.053
