time,ax,ay,az,aT
327.399356,-0.0297,0.0371,0.0042,0.048
328.389546,-0.0186,0.0127,-0.0325,0.040
329.389980,0.0092,0.0540,-0.0075,0.055
330.390360,-0.0080,-0.0922,0.0144,0.094
331.390830,-0.0048,0.0088,-0.0031,0.010
332.392516,-0.0033,-0.0026,-0.0089,0.010
333.392929,-0.0123,0.0057,0.0340,0.037
334.396147,-0.0010,0.0211,-0.0080,0.023
335.404917,-0.0062,0.0214,0.0055,0.023
336.394347,0.0101,0.0316,-0.0080,0.034
337.400402,0.0092,-0.0080,-0.0249,0.028
338.408529,-0.0067,0.0230,0.0100,0.026
339.418672,-0.0233,0.0147,0.0044,0.028
340.398002,-0.0017,0.0104,-0.0017,0.011
341.398875,-0.0043,-0.0153,0.0004,0.016
342.401155,-0.0173,0.0303,0.0008,0.035
343.403304,-0.0224,0.0192,-0.0029,0.030
344.404179,-0.0155,0.0268,-0.0173,0.035
345.404100,-0.0239,0.0212,-0.0248,0.040
346.404836,-0.0715,0.0066,0.0041,0.072
347.405647,0.0099,0.0598,0.0089,0.061
348.406575,-0.0023,0.0184,-0.0517,0.055
349.406773,-0.0252,0.0781,0.0093,0.083
350.408091,0.0059,-0.0287,-0.0059,0.030
351.408721,-0.0065,-0.0190,0.0099,0.022
352.409881,-0.0167,0.0247,0.0093,0.031
353.410654,-0.0073,-0.0155,-0.0131,0.022
354.413077,0.0266,-0.0236,-0.0347,0.050
355.419400,-0.0077,-0.0170,-0.0040,0.019
356.429576,0.0127,0.0023,-0.0042,0.014
357.438071,-0.0301,0.0640,-0.0234,0.075
358.415739,-0.2039,0.0018,-0.0591,0.212
359.416130,-0.0116,-0.0410,0.0339,0.054
360.417125,0.0296,0.0996,0.0676,0.124
361.418208,0.0239,0.1318,-0.0368,0.139
362.418439,-0.0333,0.6074,-0.5984,0.853
363.418863,0.0241,0.0134,-0.0869,0.091
364.419728,-0.2129,-0.2911,-0.2089,0.417
365.423661,0.0065,0.0669,0.0364,0.076
366.424177,0.0220,-0.0636,-0.0404,0.078
367.424560,-0.3320,0.0645,0.0798,0.348
368.425948,0.0707,-0.0402,-0.0837,0.117
369.426516,-0.0842,0.0866,-0.0050,0.121
370.428515,0.0384,0.0227,0.0158,0.047
371.433985,0.0315,0.0247,-0.0673,0.078
372.444459,0.0276,-0.0415,-0.1328,0.142
373.444735,0.0801,-0.0142,-0.1110,0.138
374.452402,0.0025,0.0135,0.0518,0.054
375.431499,-0.0649,0.0024,-0.0136,0.066
376.431850,-0.0328,0.0396,0.0789,0.094
377.432198,-0.0551,0.0329,-0.0032,0.064
378.433001,0.1956,0.2085,-0.1020,0.304
379.432905,-0.0011,0.0334,-0.0768,0.084
380.433772,0.1070,0.0530,-0.0249,0.122
381.446931,-0.0444,-0.0225,0.0319,0.059
382.440398,0.0647,-0.0016,0.0287,0.071
383.445151,0.0221,-0.0017,-0.1066,0.109
384.455794,0.0659,-0.0018,-0.0641,0.092
385.442052,0.0341,0.0966,0.0039,0.103
386.442666,-0.0325,0.0273,0.0328,0.054
387.443790,-0.0522,0.0479,0.0379,0.080
388.443909,-0.0001,0.0115,-0.0027,0.012
389.445582,-0.0188,0.0224,0.0134,0.032
390.446270,-0.0284,0.0101,-0.0784,0.084
391.446654,0.0122,-0.0463,0.0295,0.056
392.446773,-0.0025,-0.0008,0.0576,0.058
393.447722,-0.0228,0.0421,0.1010,0.112
394.448759,0.0396,0.0386,-0.1265,0.138
395.448913,0.1072,-0.0189,-0.0413,0.116
396.449447,0.0565,0.0406,0.0330,0.077
397.450259,0.0878,0.0420,0.0505,0.110
398.451867,0.0044,-0.0178,0.0393,0.043
399.453605,-0.0644,-0.0038,-0.0629,0.090
400.460709,0.0091,0.0023,-0.0111,0.015
401.468807,0.0280,-0.0250,-0.0394,0.054
402.455034,-0.0012,-0.0303,-0.0019,0.030
403.455346,0.0041,-0.0000,-0.0255,0.026
404.456317,0.0344,0.0058,-0.0532,0.064
405.457716,0.0060,0.0252,-0.0534,0.059
406.458266,0.0066,-0.0130,0.0272,0.031
407.458883,-0.0371,0.0402,-0.0385,0.067
408.459793,0.0337,0.0027,-0.0139,0.037
409.460650,-0.0137,0.0219,0.0230,0.035
410.461600,0.0025,-0.0087,-0.0475,0.048
411.462148,0.0379,-0.0140,-0.0096,0.042
412.462515,-0.0147,-0.0041,-0.0053,0.016
413.463636,-0.0177,0.0290,0.0050,0.034
414.464318,0.0255,0.0441,-0.0551,0.075
415.471581,0.0373,-0.0107,-0.0088,0.040
416.477941,-0.0034,0.0151,-0.0402,0.043
417.488367,0.0138,-0.0024,-0.0603,0.062
418.493193,0.0106,0.0170,0.0205,0.029
419.467923,0.0013,-0.0427,-0.0474,0.064
420.468749,-0.0962,0.0258,-0.0171,0.101
421.469308,-0.0107,-0.0262,-0.0973,0.101
422.471847,-0.0560,-0.0174,0.0409,0.071
423.472084,-0.0251,-0.0238,0.0301,0.046
424.472580,-0.0175,-0.0723,0.0578,0.094
425.473184,0.1485,0.0907,-0.0887,0.195
426.474502,0.0354,-0.0489,0.0752,0.096
427.475518,0.0189,-0.0179,-0.0259,0.037
428.476152,-0.0405,-0.0016,0.0178,0.044
429.476434,-0.0387,0.0284,0.0207,0.052
430.490555,0.0344,0.0217,0.0205,0.046
431.480310,0.0085,-0.0255,0.0217,0.034
432.478388,-0.0491,0.0221,0.0930,0.107
433.500149,-0.0987,0.0368,-0.0319,0.110
434.479623,0.0166,0.0306,-0.0175,0.039
435.480691,0.0322,0.0307,0.0249,0.051
436.481756,0.0352,-0.0643,0.0237,0.077
437.483459,-0.0667,-0.0067,0.0595,0.090
438.484528,-0.0287,-0.0195,-0.1253,0.130
439.484884,-0.1723,0.0689,0.2297,0.295
440.485370,0.0812,-0.0031,-0.0485,0.095
441.489113,-0.0717,-0.0604,0.0616,0.112
442.492831,0.0099,0.0539,-0.0339,0.064
443.491537,-0.0016,0.0320,0.0557,0.064
444.494901,-0.0206,0.0019,-0.0409,0.046
445.504456,-0.0560,-0.0093,0.0163,0.059
446.511687,0.0271,-0.0488,-0.0611,0.083
447.521042,-0.0265,-0.0235,-0.0320,0.048
448.509976,-0.0329,-0.0243,-0.0335,0.053
449.498380,-0.0051,-0.0263,-0.0167,0.032
450.498763,-0.0176,-0.0129,-0.0027,0.022
451.500282,-0.0137,0.0056,0.0007,0.015
452.501167,0.0121,0.0465,0.0707,0.085
453.502203,0.0088,0.0059,-0.0063,0.012
454.502661,-0.0150,0.0728,-0.0258,0.079
455.502822,-0.0343,0.0297,0.0461,0.065
456.503747,0.0199,0.0003,0.0090,0.022
457.504798,-0.0148,0.0289,-0.0995,0.105
458.505417,-0.0633,0.0364,-0.0421,0.084
459.506498,-0.0389,-0.0004,0.0218,0.045
460.507889,0.0467,0.5736,-0.2566,0.630
461.521716,-0.4872,0.2246,-0.2193,0.580
